;symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count;base;quot
31;SNGLSBTC;-0.00000002;-2.105;0.00000094;0.00000096;0.00000093;226780.00000000;0.00000093;376848.00000000;0.00000094;755940.00000000;0.00000095;0.00000096;0.00000093;11714738.00000000;11.00991563;1578136867917;1578223267917;4881760;4882209;450;SNGLS;BTC
32;SNGLSETH;0.00000000;0;0;0.00005306;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982531996;1576068931996;-1;-1;0;SNGLS;ETH
33;BQXBTC;0.00000005;1.506;0.00000352;0.00000333;0.00000337;33800.00000000;0.00000335;8377.00000000;0.00000337;40844.00000000;0.00000332;0.00000386;0.00000320;132243604.00000000;465.99997919;1578137289471;1578223689471;7209499;7236886;27388;BQX;BTC
34;BQXETH;0.00000320;1.757;0.00019054;0.00018300;0.00018530;40.00000000;0.00018390;7490.00000000;0.00018530;382.00000000;0.00018210;0.00021260;0.00017500;2693696.00000000;513.26857600;1578137291526;1578223691526;1395049;1396698;1650;BQX;ETH
35;KNCBTC;-0.00000032;-1.171;0.00002698;0.00002734;0.00002701;154.00000000;0.00002701;163.00000000;0.00002702;4.00000000;0.00002733;0.00002746;0.00002647;856928.00000000;23.12036629;1578137241945;1578223641945;6017329;6019462;2134;KNC;BTC
36;KNCETH;-0.00001330;-0.884;0.00147944;0.00150120;0.00149150;2.00000000;0.00148210;168.00000000;0.00149060;2572.00000000;0.00150480;0.00150620;0.00145890;222582.00000000;329.29638290;1578137161240;1578223561240;2495245;2495884;640;KNC;ETH
37;FUNBTC;-0.00000002;-4.348;0.00000045;0.00000045;0.00000044;2285.00000000;0.00000043;3460076.00000000;0.00000044;3833037.00000000;0.00000046;0.00000047;0.00000043;41153842.00000000;18.32121184;1578137218623;1578223618623;5929247;5930404;1158;FUN;BTC
38;FUNETH;-0.00000105;-4.207;0.00002436;0.00002495;0.00002391;542.00000000;0.00002377;32996.00000000;0.00002393;1050.00000000;0.00002496;0.00002534;0.00002369;7206734.00000000;175.52008271;1578137226892;1578223626892;1819843;1820341;499;FUN;ETH
39;SNMBTC;-0.00000010;-6.329;0.00000154;0.00000159;0.00000148;2199.00000000;0.00000147;307517.00000000;0.00000148;377793.00000000;0.00000158;0.00000164;0.00000142;57229734.00000000;88.15472691;1578137270246;1578223670246;4457306;4463355;6050;SNM;BTC
40;SNMETH;-0.00000551;-6.345;0.00008206;0.00008644;0.00008133;1924.00000000;0.00008090;1189.00000000;0.00008152;143.00000000;0.00008684;0.00009056;0.00007773;1839853.00000000;150.97927620;1578136920391;1578223320391;1171614;1172725;1112;SNM;ETH
