date;symbol_x;quot;base;side;price;target;closed;id;symbol_y;bidPrice;askPrice;profit_in_%;profit_in_$
2020-01-05 11:20:04+00:00;BTC_MCO;BTC;MCO;buy;0.0005705;0.00057906;False;79073;MCOBTC;0.0005685;0.0005701;-0.350569675723051;-0.0350569675723051
2020-01-05 11:17:05+00:00;ETH_XZC;ETH;XZC;buy;0.022238;0.02257158;False;79064;XZCETH;0.022178;0.022298;-0.26980843601045024;-0.026980843601045024
2020-01-05 11:14:04+00:00;BNB_BEAM;BNB;BEAM;buy;0.0386;0.03917901;False;79057;BEAMBNB;0.03818;0.03858;-1.0880829015544151;-0.10880829015544151
2020-01-05 11:13:07+00:00;BTC_QSP;BTC;QSP;buy;1.31e-06;1.33e-06;False;79062;QSPBTC;1.3e-06;1.31e-06;-0.7633587786259568;-0.07633587786259569
2020-01-01 15:37:07+00:00;BTC_QSP;BTC;QSP;buy;1.34e-06;1.37e-06;False;77519;QSPBTC;1.3e-06;1.31e-06;-2.985074626865682;-0.2985074626865682
2020-01-05 11:10:11+00:00;USDT_MCO;USDT;MCO;buy;4.24;4.3036;False;79071;MCOUSDT;4.225;4.238;-0.35377358490566735;-0.03537735849056674
2020-01-05 11:07:12+00:00;BTC_SNT;BTC;SNT;buy;1.23e-06;1.25e-06;False;79069;SNTBTC;1.21e-06;1.22e-06;-1.6260162601626007;-0.16260162601626008
2020-01-01 12:57:35+00:00;BTC_SNT;BTC;SNT;buy;1.29e-06;1.31e-06;False;77465;SNTBTC;1.21e-06;1.22e-06;-6.201550387596882;-0.6201550387596881
2020-01-05 11:04:12+00:00;BNB_ALGO;BNB;ALGO;buy;0.01668;0.01693021;False;79068;ALGOBNB;0.01656;0.01664;-0.7194244604316538;-0.07194244604316538
2020-01-05 11:02:12+00:00;BTC_ELF;BTC;ELF;buy;7.17e-06;7.28e-06;False;79067;ELFBTC;7.12e-06;7.15e-06;-0.697350069735009;-0.06973500697350091
2020-01-05 10:56:07+00:00;BTC_POLY;BTC;POLY;buy;2.41e-06;2.45e-06;False;79058;POLYBTC;2.4e-06;2.41e-06;-0.4149377593360981;-0.04149377593360981
2020-01-05 10:52:12+00:00;BTC_ZEC;BTC;ZEC;buy;0.004084;0.00414527;False;79063;ZECBTC;0.004117;0.00412;0.8080313418217457;0.08080313418217458
2020-01-05 10:51:12+00:00;USDT_XMR;USDT;XMR;buy;51.98;52.7597;False;79061;XMRUSDT;52.31;52.35;0.6348595613697654;0.06348595613697654
2020-01-05 10:48:12+00:00;USDT_STX;USDT;STX;buy;0.0934;0.09480101;False;79059;STXUSDT;0.0934;0.0936;0.0;0.0
2019-12-30 04:52:08+00:00;USDT_STX;USDT;STX;buy;0.1037;0.1052555;False;76578;STXUSDT;0.0934;0.0936;-9.932497589199613;-0.9932497589199614
2020-01-05 10:45:07+00:00;ETH_EOS;ETH;EOS;buy;0.019804;0.02010106;False;79056;EOSETH;0.019824;0.019848;0.10098969905071442;0.010098969905071442
2020-01-01 05:40:39+00:00;ETH_EOS;ETH;EOS;buy;0.020085;0.02038628;False;77352;EOSETH;0.019824;0.019848;-1.299477221807308;-0.1299477221807308
2020-01-05 10:35:40+00:00;ETH_EDO;ETH;EDO;buy;0.001482;0.00150423;False;79055;EDOETH;0.001477;0.001485;-0.33738191632929215;-0.03373819163292922
2020-01-05 10:23:40+00:00;BTC_GVT;BTC;GVT;buy;0.00013419999999999998;0.00013622;False;79053;GVTBTC;0.0001346;0.0001348;0.2980625931445644;0.02980625931445644
2020-01-05 09:46:11+00:00;BTC_XTZ;BTC;XTZ;buy;0.0001692;0.00017174;False;79047;XTZBTC;0.000169;0.0001691;-0.11820330969267445;-0.011820330969267445
2020-01-01 21:27:38+00:00;BTC_XTZ;BTC;XTZ;buy;0.0001895;0.00019235;False;77599;XTZBTC;0.000169;0.0001691;-10.817941952506601;-1.08179419525066
2020-01-05 09:46:07+00:00;BTC_REP;BTC;REP;buy;0.001252;0.00127079;False;79046;REPBTC;0.001257;0.001258;0.3993610223642179;0.039936102236421786
2020-01-05 09:43:05+00:00;BNB_XZC;BNB;XZC;buy;0.2155;0.21873251;False;79043;XZCBNB;0.2137;0.2155;-0.8352668213457122;-0.08352668213457122
2020-01-05 09:41:07+00:00;USDT_THETA;USDT;THETA;buy;0.09515;0.09657725;False;79044;THETAUSDT;0.09376;0.09417;-1.4608512874408888;-0.14608512874408888
2020-01-05 09:33:05+00:00;BTC_XZC;BTC;XZC;buy;0.0004069;0.00041301;False;79042;XZCBTC;0.0004026;0.0004041;-1.0567707053330224;-0.10567707053330225
2020-01-01 12:59:34+00:00;BTC_XZC;BTC;XZC;buy;0.0004224;0.00042874;False;77466;XZCBTC;0.0004026;0.0004041;-4.6875;-0.46875
2020-01-05 09:29:05+00:00;BTC_DUSK;BTC;DUSK;buy;5.36e-06;5.45e-06;False;79041;DUSKBTC;5.36e-06;5.38e-06;0.0;0.0
2020-01-01 11:22:07+00:00;BTC_DUSK;BTC;DUSK;buy;5.88e-06;5.97e-06;False;77440;DUSKBTC;5.36e-06;5.38e-06;-8.84353741496598;-0.884353741496598
2020-01-05 09:22:08+00:00;BNB_BTT;BNB;BTT;buy;2.129e-05;2.161e-05;False;79038;BTTBNB;2.104e-05;2.106e-05;-1.1742602160638853;-0.11742602160638853
2019-12-30 16:42:08+00:00;BNB_BTT;BNB;BTT;buy;2.242e-05;2.276e-05;False;76760;BTTBNB;2.104e-05;2.106e-05;-6.155218554861719;-0.6155218554861719
